c,rho,shrinkage,Xr,metabolic exponent
,,0.0,0.01,1
,,0.015789473684210527,0.01,1
,,0.031578947368421054,0.01,1
,,0.04736842105263158,0.01,1
,,0.06315789473684211,0.01,1
,,0.07894736842105263,0.01,1
,,0.09473684210526316,0.01,1
,,0.1105263157894737,0.01,1
,,0.12631578947368421,0.01,1
,,0.14210526315789473,0.01,1
,,0.15789473684210525,0.01,1
,,0.1736842105263158,0.01,1
,,0.18947368421052632,0.01,1
,,0.20526315789473684,0.01,1
,,0.2210526315789474,0.01,1
,,0.2368421052631579,0.01,1
,,0.25263157894736843,0.01,1
,,0.26842105263157895,0.01,1
,,0.28421052631578947,0.01,1
,,0.3,0.01,1
